LECROYWaveRunnerkR 21099 Waveform
Segments 1 SegmentSize 100002
Segment TrigTime TimeSinceSegment1
#1 09-May-2022 14:43:36 0                 
Time Ampl
1.4829475e-006 -0.0391503
1.4829975e-006 -0.0369122
1.4830475e-006 -0.037942
1.4830975e-006 -0.0391229
1.4831475e-006 -0.0380793
1.4831975e-006 -0.0398918
1.4832475e-006 -0.0408393
1.4832975e-006 -0.040702
1.4833475e-006 -0.0411414
1.4833975e-006 -0.0383265
1.4834475e-006 -0.0375163
1.4834975e-006 -0.0376536
1.4835475e-006 -0.0357999
1.4835975e-006 -0.0390542
1.4836475e-006 -0.0429401
1.4836975e-006 -0.0402763
1.4837475e-006 -0.0362531
1.4837975e-006 -0.0379145
1.4838475e-006 -0.0411688
1.4838975e-006 -0.0386011
1.4839475e-006 -0.0369533
1.4839975e-006 -0.0389032
1.4840475e-006 -0.0378459
1.4840975e-006 -0.0357038
1.4841475e-006 -0.0365826
1.4841975e-006 -0.0402763
1.4842475e-006 -0.0421025
1.4842975e-006 -0.03937
1.4843475e-006 -0.0375575
1.4843975e-006 -0.0385599
1.4844475e-006 -0.0407843
1.4844975e-006 -0.0433383
1.4845475e-006 -0.0437777
1.4845975e-006 -0.0432834
1.4846475e-006 -0.0430912
1.4846975e-006 -0.0409903
1.4847475e-006 -0.0372417
1.4847975e-006 -0.0359784
1.4848475e-006 -0.038299
1.4848975e-006 -0.0399605
1.4849475e-006 -0.0393014
1.4849975e-006 -0.0375575
1.4850475e-006 -0.0372692
1.4850975e-006 -0.0403724
1.4851475e-006 -0.0419652
1.4851975e-006 -0.0372966
1.4852475e-006 -0.0330674
1.4852975e-006 -0.035594
1.4853475e-006 -0.0386972
1.4853975e-006 -0.0376948
1.4854475e-006 -0.0380244
1.4854975e-006 -0.0396721
1.4855475e-006 -0.0382441
1.4855975e-006 -0.0391229
1.4856475e-006 -0.0416769
1.4856975e-006 -0.0409217
1.4857475e-006 -0.0413611
1.4857975e-006 -0.0405646
1.4858475e-006 -0.0403312
1.4858975e-006 -0.0444918
1.4859475e-006 -0.0404136
1.4859975e-006 -0.0345916
1.4860475e-006 -0.0415808
1.4860975e-006 -0.0447527
1.4861475e-006 -0.0385874
1.4861975e-006 -0.0372829
1.4862475e-006 -0.0383539
1.4862975e-006 -0.0392602
1.4863475e-006 -0.0410864
1.4863975e-006 -0.0385599
1.4864475e-006 -0.0365689
1.4864975e-006 -0.0379832
1.4865475e-006 -0.0367336
1.4865975e-006 -0.0376948
1.4866475e-006 -0.0424184
1.4866975e-006 -0.0420202
1.4867475e-006 -0.0384226
1.4867975e-006 -0.0366238
1.4868475e-006 -0.0381205
1.4868975e-006 -0.0415396
1.4869475e-006 -0.041622
1.4869975e-006 -0.0409629
1.4870475e-006 -0.0411688
1.4870975e-006 -0.0400566
1.4871475e-006 -0.0392327
1.4871975e-006 -0.0383127
1.4872475e-006 -0.0394936
1.4872975e-006 -0.0413473
1.4873475e-006 -0.0382166
1.4873975e-006 -0.0378184
1.4874475e-006 -0.0432697
1.4874975e-006 -0.0424596
1.4875475e-006 -0.0362393
1.4875975e-006 -0.0365139
1.4876475e-006 -0.0422399
1.4876975e-006 -0.043613
1.4877475e-006 -0.0385736
1.4877975e-006 -0.0348113
1.4878475e-006 -0.0393838
1.4878975e-006 -0.0440936
1.4879475e-006 -0.0389581
1.4879975e-006 -0.0324907
1.4880475e-006 -0.0338364
1.4880975e-006 -0.038505
1.4881475e-006 -0.0395897
1.4881975e-006 -0.0394524
1.4882475e-006 -0.0410315
1.4882975e-006 -0.0406608
1.4883475e-006 -0.0383402
1.4883975e-006 -0.0378871
