LECROY;WAVERUNNER8404M;LCRY4256N21099;8.4.1;TCPIP0::192.168.41.155
TriggerTime,2022-05-11--14-33-39.757
RelativeTime Ch.#1 Ch.#2 Ch.#3 Ch.#4
[s] [V] [V] [V] [V]
-8.417372E-8 -6.895498E-3 4.667484E-4 -4.044124E-2 -2.276773E-1
-8.412372E-8 -6.614009E-3 4.614587E-4 -3.827173E-2 -2.210863E-1
-8.407372E-8 -6.110760E-3 4.529138E-4 -3.681621E-2 -2.333071E-1
-8.402372E-8 -6.224043E-3 4.435549E-4 -3.899947E-2 -2.418203E-1
-8.397372E-8 -7.014960E-3 4.557620E-4 -3.949380E-2 -2.324831E-1
-8.392372E-8 -6.849498E-3 4.984867E-4 -4.001558E-2 -2.210863E-1
-8.387372E-8 -5.753063E-3 5.469078E-4 -4.245973E-2 -2.297370E-1
-8.382372E-8 -5.744137E-3 5.741701E-4 -4.018036E-2 -2.333071E-1
-8.377372E-8 -6.947677E-3 5.814945E-4 -3.585503E-2 -2.127104E-1
-8.372372E-8 -7.499671E-3 5.884117E-4 -3.757143E-2 -1.863463E-1
-8.367372E-8 -6.911975E-3 6.006188E-4 -3.967232E-2 -2.098267E-1
-8.362372E-8 -6.364101E-3 6.034670E-4 -3.772247E-2 -2.581606E-1
-8.357372E-8 -6.475324E-3 5.806806E-4 -3.728306E-2 -2.422323E-1
-8.352372E-8 -6.783589E-3 5.273765E-4 -3.954872E-2 -2.249310E-1
-8.347372E-8 -6.742395E-3 4.492516E-4 -4.020780E-2 -2.706559E-1
-8.342372E-8 -6.559084E-3 3.723474E-4 -4.105917E-2 -2.981184E-1
-8.337372E-8 -6.791827E-3 3.385746E-4 -4.291287E-2 -2.679098E-1
-8.332372E-8 -7.084303E-3 3.646163E-4 -4.133376E-2 -2.378385E-1
-8.327372E-8 -6.732097E-3 4.248375E-4 -4.123765E-2 -2.462144E-1
-8.322372E-8 -6.217177E-3 4.826174E-4 -4.214391E-2 -2.506084E-1
-8.317372E-8 -6.302997E-3 5.180179E-4 -3.864247E-2 -2.201252E-1
-8.312372E-8 -6.609890E-3 5.229006E-4 -3.868365E-2 -2.068059E-1
-8.307372E-8 -6.469144E-3 4.988934E-4 -4.145736E-2 -2.427816E-1
-8.302372E-8 -6.300251E-3 4.643069E-4 -3.868365E-2 -2.684591E-1
-8.297372E-8 -6.555651E-3 4.407067E-4 -3.564906E-2 -2.367399E-1
-8.292372E-8 -6.648337E-3 4.203618E-4 -3.776366E-2 -2.127104E-1
-8.287372E-8 -6.317414E-3 3.735679E-4 -4.056484E-2 -2.285011E-1
-8.282372E-8 -5.984433E-3 2.974775E-4 -3.950754E-2 -2.305608E-1
-8.277372E-8 -5.976195E-3 2.364423E-4 -3.634936E-2 -2.077670E-1
-8.272372E-8 -6.197266E-3 2.303389E-4 -3.417981E-2 -1.753614E-1
-8.267372E-8 -6.232281E-3 2.677739E-4 -3.496251E-2 -1.863463E-1
-8.262372E-8 -6.283773E-3 3.149742E-4 -3.974095E-2 -2.385249E-1
-8.257372E-8 -6.546039E-3 3.621748E-4 -4.289913E-2 -2.371519E-1
-8.252372E-8 -6.609890E-3 4.166996E-4 -4.020780E-2 -2.096894E-1
-8.247372E-8 -6.656575E-3 4.695966E-4 -3.857380E-2 -2.197132E-1
-8.242372E-8 -6.873528E-3 5.005212E-4 -4.215765E-2 -2.378385E-1
-8.237372E-8 -6.815171E-3 5.037764E-4 -4.350331E-2 -2.427816E-1
-8.232372E-8 -6.516517E-3 4.923830E-4 -3.823054E-2 -2.400353E-1
-8.227372E-8 -6.381265E-3 4.858726E-4 -3.501743E-2 -2.430563E-1
-8.222372E-8 -6.709441E-3 4.993004E-4 -3.905439E-2 -2.544532E-1
-8.217372E-8 -7.189346E-3 5.391766E-4 -4.295406E-2 -2.431936E-1
-8.212372E-8 -7.036930E-3 5.863772E-4 -4.434091E-2 -2.122984E-1
-8.207372E-8 -6.574188E-3 6.038740E-4 -4.431346E-2 -2.074924E-1
-8.202372E-8 -6.564576E-3 5.745771E-4 -3.902695E-2 -2.164178E-1
-8.197372E-8 -6.759560E-3 5.281905E-4 -3.298521E-2 -2.085910E-1
-8.192372E-8 -6.725231E-3 5.025556E-4 -3.612965E-2 -2.105134E-1
